Time Stamp:2021-12-15 22:45:33.606416 Operation Addition
Record Value 1, Value 2, Result 
0 47.0762264 , 42.17457631 , 89.25080271
1 39.40843415 , 98.69175367 , 138.10018782
2 44.94420435 , 91.82318077 , 136.76738512
3 96.58948668 , 8.418129823 , 105.007616503
4 43.94077568 , 69.83967018 , 113.78044586
5 20.75657345 , 14.22724077 , 34.98381422
6 4.629728977 , 18.28827899 , 22.918007966999998
7 85.47446898 , 23.67790098 , 109.15236996
8 87.41515489 , 9.896752401 , 97.311907291
9 98.45086952 , 53.75707481 , 152.20794433

 
Time Stamp:2021-12-15 22:45:33.612173 Operation Subtraction
Record Value 1, Value 2, Result 
0 98.38584116 , 46.8735473 , 51.51229386
1 79.08078252 , 37.95572778 , 41.12505474
2 74.464091 , 78.19065851 , -3.7265675100000095
3 65.66219849 , 45.11512914 , 20.547069349999994
4 41.76265426 , 80.69356926 , -38.930915000000006
5 21.23028009 , 49.04258194 , -27.812301849999997
6 42.5846391 , 15.6969927 , 26.887646399999998
7 8.663445898 , 27.727284 , -19.063838102
8 86.05751841 , 5.81107592 , 80.24644248999999
9 72.64005743 , 31.64572452 , 40.99433291

 
Time Stamp:2021-12-15 22:45:33.617782 Operation Multiplication
Record Value 1, Value 2, Result 
0 11.21777396 , 91.98299863 , 1031.8444867943297
1 84.59645797 , 95.93037141 , 8115.369633032556
2 42.64154617 , 55.8095119 , 2379.803878409014
3 27.24884533 , 41.65969164 , 1135.178493993854
4 31.41742252 , 8.967784588 , 281.74467746954014
5 68.88983502 , 16.30667986 , 1123.3644852793568
6 60.21178309 , 56.79189012 , 3419.540969176554
7 35.9259092 , 60.47029074 , 2172.450174422841
8 5.059121684 , 30.64358786 , 155.02963981808514

 
Time Stamp:2021-12-15 22:45:33.623237 Operation Division
Record Value 1, Value 2, Result 
0 40.7890788 , 48.91873659 , 0.8338130058808209
1 66.61040572 , 90.93484197 , 0.7325069717718893
2 20.27839019 , 9.995834428 , 2.0286840819608662
3 0.769444917 , 57.89701531 , 0.013289889174426943
4 52.48449555 , 49.55121261 , 1.0591969961075791
5 59.04725288 , 42.43592518 , 1.3914449285490988
6 19.94810961 , 73.82847439 , 0.2701953382461057
7 31.35001633 , 88.22798987 , 0.35532959978112216
8 93.74503024 , 90.38712637 , 1.0371502447843557
9 85.76112054 , 95.59455984 , 0.8971339026356878
10 10.0 , 0.0 , ZeroDivisionError

 
